date,December temp
12/1/2010,76
12/3/2010,74
12/4/2010,74
12/6/2010,64
12/7/2010,64
12/8/2010,67
12/9/2010,77
12/10/2010,66
12/11/2010,69
12/12/2010,68
12/13/2010,68
12/14/2010,71
12/15/2010,74
12/16/2010,67
12/17/2010,66
12/18/2010,69
12/19/2010,71
12/23/2010,70
12/24/2010,70
12/26/2010,74
12/27/2010,74
12/28/2010,71
12/29/2010,75
12/30/2010,75
12/31/2010,72
12/1/2011,69
12/2/2011,68
12/3/2011,73
12/4/2011,74
12/5/2011,73
12/6/2011,73
12/7/2011,73
12/8/2011,73
12/9/2011,71
12/10/2011,73
12/11/2011,73
12/12/2011,77
12/13/2011,72
12/14/2011,71
12/15/2011,73
12/16/2011,70
12/17/2011,73
12/18/2011,69
12/19/2011,74
12/20/2011,72
12/21/2011,71
12/22/2011,72
12/23/2011,72
12/24/2011,70
12/25/2011,73
12/26/2011,73
12/27/2011,72
12/28/2011,73
12/29/2011,73
12/30/2011,72
12/31/2011,63
12/1/2012,65
12/2/2012,71
12/3/2012,76
12/4/2012,70
12/5/2012,76
12/6/2012,69
12/7/2012,69
12/8/2012,69
12/9/2012,74
12/10/2012,76
12/11/2012,74
12/12/2012,73
12/13/2012,73
12/14/2012,74
12/15/2012,73
12/16/2012,73
12/17/2012,73
12/18/2012,74
12/19/2012,74
12/20/2012,71
12/21/2012,73
12/22/2012,72
12/23/2012,64
12/24/2012,66
12/26/2012,73
12/27/2012,72
12/28/2012,65
12/29/2012,64
12/30/2012,69
12/31/2012,68
12/1/2013,77
12/2/2013,71
12/3/2013,71
12/4/2013,69
12/5/2013,68
12/6/2013,68
12/7/2013,69
12/8/2013,70
12/9/2013,72
12/10/2013,76
12/11/2013,75
12/12/2013,69
12/13/2013,71
12/14/2013,71
12/15/2013,71
12/16/2013,68
12/17/2013,65
12/18/2013,70
12/19/2013,69
12/20/2013,69
12/21/2013,71
12/22/2013,67
12/23/2013,73
12/24/2013,74
12/25/2013,73
12/26/2013,67
12/27/2013,74
12/28/2013,75
12/29/2013,75
12/30/2013,74
12/31/2013,67
12/1/2014,73
12/2/2014,73
12/3/2014,71
12/4/2014,72
12/5/2014,71
12/6/2014,68
12/7/2014,65
12/8/2014,69
12/9/2014,70
12/10/2014,70
12/11/2014,74
12/12/2014,71
12/13/2014,74
12/14/2014,73
12/15/2014,72
12/16/2014,74
12/17/2014,72
12/18/2014,74
12/19/2014,75
12/20/2014,74
12/21/2014,70
12/22/2014,74
12/23/2014,70
12/24/2014,66
12/25/2014,61
12/26/2014,63
12/27/2014,63
12/28/2014,63
12/29/2014,63
12/30/2014,67
12/31/2014,56
12/1/2015,75
12/2/2015,77
12/3/2015,75
12/4/2015,75
12/5/2015,75
12/6/2015,75
12/7/2015,71
12/8/2015,70
12/9/2015,74
12/10/2015,74
12/11/2015,75
12/12/2015,72
12/13/2015,70
12/14/2015,66
12/15/2015,74
12/16/2015,75
12/17/2015,74
12/18/2015,75
12/19/2015,76
12/20/2015,74
12/21/2015,75
12/22/2015,74
12/23/2015,73
12/24/2015,68
12/25/2015,73
12/26/2015,74
12/27/2015,74
12/28/2015,77
12/29/2015,70
12/30/2015,70
12/31/2015,69
12/1/2016,75
12/2/2016,72
12/3/2016,69
12/4/2016,71
12/5/2016,68
12/6/2016,67
12/7/2016,69
12/8/2016,73
12/9/2016,70
12/10/2016,70
12/11/2016,70
12/12/2016,66
12/13/2016,67
12/14/2016,70
12/15/2016,66
12/16/2016,62
12/17/2016,71
12/18/2016,73
12/19/2016,69
12/20/2016,77
12/21/2016,74
12/22/2016,71
12/23/2016,72
12/24/2016,74
12/25/2016,74
12/26/2016,74
12/27/2016,74
12/28/2016,71
12/29/2016,73
12/30/2016,69
12/31/2016,66
12/1/2010,73
12/2/2010,72
12/3/2010,73
12/4/2010,74
12/5/2010,73
12/6/2010,66
12/7/2010,64
12/8/2010,66
12/9/2010,75
12/10/2010,65
12/11/2010,69
12/12/2010,71
12/13/2010,69
12/14/2010,78
12/15/2010,74
12/16/2010,68
12/17/2010,68
12/18/2010,70
12/19/2010,70
12/20/2010,71
12/21/2010,71
12/22/2010,71
12/23/2010,71
12/24/2010,69
12/25/2010,69
12/26/2010,72
12/27/2010,76
12/28/2010,72
12/29/2010,73
12/30/2010,73
12/31/2010,74
12/1/2011,69
12/2/2011,68
12/3/2011,74
12/4/2011,73
12/5/2011,73
12/6/2011,72
12/7/2011,71
12/8/2011,71
12/9/2011,68
12/10/2011,72
12/11/2011,71
12/12/2011,72
12/13/2011,71
12/14/2011,71
12/15/2011,72
12/16/2011,71
12/17/2011,71
12/18/2011,72
12/19/2011,72
12/20/2011,72
12/21/2011,69
12/22/2011,71
12/23/2011,71
12/24/2011,69
12/25/2011,74
12/26/2011,72
12/27/2011,71
12/28/2011,71
12/29/2011,72
12/30/2011,71
12/31/2011,67
12/1/2012,65
12/2/2012,70
12/3/2012,76
12/4/2012,68
12/5/2012,71
12/6/2012,71
12/7/2012,68
12/8/2012,70
12/9/2012,73
12/10/2012,73
12/11/2012,72
12/12/2012,71
12/13/2012,70
12/14/2012,72
12/15/2012,71
12/16/2012,72
12/17/2012,72
12/18/2012,71
12/19/2012,70
12/20/2012,71
12/21/2012,71
12/22/2012,71
12/23/2012,66
12/24/2012,65
12/25/2012,73
12/26/2012,72
12/27/2012,72
12/28/2012,65
12/29/2012,65
12/30/2012,68
12/31/2012,67
12/1/2013,76
12/2/2013,70
12/3/2013,71
12/4/2013,69
12/5/2013,67
12/6/2013,69
12/7/2013,71
12/8/2013,69
12/9/2013,72
12/10/2013,76
12/11/2013,75
12/12/2013,72
12/13/2013,75
12/14/2013,71
12/15/2013,69
12/16/2013,68
12/17/2013,68
12/18/2013,72
12/19/2013,70
12/20/2013,72
12/21/2013,75
12/22/2013,69
12/23/2013,72
12/24/2013,73
12/25/2013,73
12/26/2013,72
12/27/2013,73
12/28/2013,74
12/29/2013,73
12/30/2013,72
12/31/2013,68
12/1/2014,72
12/2/2014,71
12/3/2014,69
12/4/2014,67
12/5/2014,70
12/6/2014,72
12/7/2014,67
12/8/2014,67
12/9/2014,69
12/10/2014,67
12/11/2014,74
12/12/2014,70
12/13/2014,73
12/14/2014,71
12/15/2014,71
12/16/2014,71
12/17/2014,71
12/18/2014,72
12/19/2014,76
12/20/2014,78
12/21/2014,76
12/22/2014,73
12/23/2014,70
12/24/2014,68
12/25/2014,77
12/26/2014,66
12/27/2014,65
12/28/2014,69
12/29/2014,69
12/30/2014,66
12/31/2014,64
12/2/2015,74
12/3/2015,75
12/4/2015,80
12/5/2015,72
12/6/2015,73
12/7/2015,70
12/8/2015,69
12/9/2015,77
12/10/2015,74
12/11/2015,77
12/12/2015,72
12/13/2015,69
12/14/2015,69
12/15/2015,75
12/16/2015,75
12/17/2015,72
12/18/2015,73
12/19/2015,78
12/20/2015,75
12/21/2015,75
12/22/2015,74
12/23/2015,73
12/24/2015,70
12/25/2015,70
12/26/2015,72
12/27/2015,74
12/28/2015,74
12/29/2015,67
12/30/2015,74
12/31/2015,70
12/1/2016,73
12/2/2016,71
12/3/2016,71
12/4/2016,69
12/5/2016,68
12/6/2016,70
12/7/2016,71
12/8/2016,72
12/9/2016,70
12/10/2016,71
12/11/2016,72
12/12/2016,68
12/13/2016,68
12/14/2016,70
12/15/2016,70
12/16/2016,63
12/17/2016,71
12/18/2016,67
12/19/2016,69
12/20/2016,74
12/21/2016,72
12/22/2016,70
12/23/2016,69
12/24/2016,73
12/25/2016,74
12/26/2016,74
12/27/2016,73
12/28/2016,71
12/29/2016,72
12/30/2016,69
12/31/2016,71
12/1/2010,73
12/2/2010,73
12/3/2010,71
12/4/2010,72
12/5/2010,71
12/6/2010,64
12/7/2010,71
12/8/2010,62
12/9/2010,70
12/10/2010,64
12/11/2010,64
12/12/2010,70
12/13/2010,70
12/14/2010,69
12/15/2010,72
12/16/2010,68
12/17/2010,68
12/18/2010,65
12/19/2010,67
12/20/2010,68
12/21/2010,70
12/22/2010,67
12/23/2010,73
12/24/2010,70
12/26/2010,68
12/27/2010,72
12/28/2010,69
12/29/2010,71
12/30/2010,70
12/31/2010,75
12/1/2011,70
12/2/2011,68
12/3/2011,73
12/4/2011,71
12/5/2011,71
12/6/2011,70
12/7/2011,70
12/8/2011,70
12/9/2011,70
12/10/2011,72
12/12/2011,74
12/13/2011,71
12/14/2011,70
12/15/2011,70
12/16/2011,69
12/18/2011,71
12/19/2011,70
12/20/2011,70
12/21/2011,72
12/22/2011,72
12/24/2011,72
12/26/2011,72
12/27/2011,72
12/29/2011,70
12/30/2011,66
12/31/2011,71
12/1/2012,68
12/3/2012,79
12/4/2012,76
12/5/2012,73
12/6/2012,75
12/7/2012,71
12/10/2012,76
12/11/2012,74
12/12/2012,73
12/13/2012,73
12/14/2012,74
12/17/2012,73
12/18/2012,72
12/19/2012,76
12/21/2012,75
12/22/2012,77
12/24/2012,74
12/26/2012,76
12/28/2012,75
12/31/2012,76
12/2/2013,73
12/3/2013,75
12/4/2013,73
12/5/2013,73
12/6/2013,74
12/7/2013,78
12/8/2013,78
12/9/2013,78
12/10/2013,75
12/11/2013,75
12/12/2013,75
12/13/2013,74
12/14/2013,77
12/16/2013,72
12/17/2013,72
12/18/2013,73
12/19/2013,71
12/20/2013,75
12/21/2013,76
12/23/2013,74
12/24/2013,75
12/26/2013,74
12/27/2013,75
12/28/2013,73
12/29/2013,72
12/30/2013,72
12/31/2013,75
12/1/2014,74
12/2/2014,74
12/3/2014,72
12/4/2014,73
12/5/2014,70
12/6/2014,76
12/8/2014,78
12/9/2014,76
12/10/2014,78
12/11/2014,74
12/12/2014,71
12/13/2014,78
12/15/2014,70
12/16/2014,74
12/17/2014,74
12/18/2014,75
12/19/2014,76
12/20/2014,78
12/22/2014,72
12/23/2014,73
12/25/2014,76
12/29/2014,72
12/31/2014,72
12/1/2015,78
12/2/2015,76
12/3/2015,76
12/4/2015,77
12/7/2015,79
12/8/2015,73
12/9/2015,79
12/10/2015,77
12/11/2015,78
12/12/2015,76
12/13/2015,78
12/14/2015,77
12/15/2015,79
12/16/2015,75
12/17/2015,77
12/18/2015,76
12/19/2015,78
12/21/2015,78
12/22/2015,77
12/23/2015,78
12/25/2015,78
12/27/2015,76
12/28/2015,75
12/29/2015,72
12/1/2016,75
12/2/2016,77
12/3/2016,75
12/4/2016,77
12/5/2016,76
12/7/2016,76
12/8/2016,75
12/9/2016,72
12/10/2016,76
12/12/2016,75
12/13/2016,72
12/14/2016,72
12/15/2016,75
12/16/2016,69
12/17/2016,75
12/18/2016,74
12/19/2016,78
12/20/2016,77
12/21/2016,76
12/22/2016,72
12/23/2016,73
12/24/2016,74
12/26/2016,74
12/27/2016,74
12/28/2016,73
12/29/2016,73
12/30/2016,71
12/31/2016,72
12/1/2010,72
12/2/2010,75
12/6/2010,66
12/7/2010,66
12/8/2010,67
12/9/2010,76
12/10/2010,68
12/13/2010,69
12/14/2010,71
12/15/2010,70
12/16/2010,68
12/17/2010,66
12/1/2011,69
12/2/2011,69
12/5/2011,71
12/6/2011,72
12/7/2011,69
12/8/2011,72
12/9/2011,70
12/12/2011,76
12/13/2011,69
12/14/2011,71
12/15/2011,72
12/16/2011,71
12/3/2012,78
12/4/2012,73
12/5/2012,74
12/6/2012,68
12/7/2012,71
12/10/2012,76
12/11/2012,75
12/12/2012,74
12/13/2012,73
12/14/2012,73
12/27/2012,74
