date,June temp
6/1/2010,78
6/2/2010,76
6/3/2010,78
6/4/2010,76
6/5/2010,77
6/6/2010,78
6/7/2010,77
6/8/2010,78
6/9/2010,78
6/10/2010,79
6/11/2010,78
6/12/2010,78
6/13/2010,78
6/14/2010,77
6/15/2010,78
6/16/2010,78
6/17/2010,77
6/18/2010,77
6/19/2010,82
6/20/2010,78
6/21/2010,78
6/22/2010,78
6/23/2010,78
6/24/2010,78
6/25/2010,77
6/26/2010,76
6/27/2010,78
6/28/2010,78
6/29/2010,78
6/30/2010,78
6/1/2011,77
6/2/2011,78
6/3/2011,73
6/4/2011,70
6/5/2011,76
6/6/2011,77
6/7/2011,77
6/8/2011,77
6/9/2011,77
6/10/2011,78
6/11/2011,77
6/12/2011,77
6/13/2011,78
6/14/2011,78
6/15/2011,77
6/17/2011,78
6/18/2011,78
6/19/2011,75
6/20/2011,76
6/21/2011,76
6/24/2011,77
6/25/2011,78
6/26/2011,76
6/27/2011,77
6/28/2011,75
6/29/2011,77
6/1/2012,76
6/2/2012,76
6/3/2012,75
6/4/2012,77
6/5/2012,77
6/6/2012,76
6/7/2012,78
6/8/2012,77
6/9/2012,76
6/10/2012,77
6/11/2012,76
6/12/2012,76
6/13/2012,77
6/14/2012,77
6/15/2012,78
6/16/2012,77
6/17/2012,77
6/18/2012,77
6/19/2012,76
6/20/2012,75
6/21/2012,76
6/22/2012,76
6/23/2012,77
6/24/2012,76
6/25/2012,73
6/26/2012,73
6/27/2012,75
6/28/2012,77
6/29/2012,76
6/30/2012,77
6/1/2013,79
6/2/2013,78
6/3/2013,79
6/4/2013,78
6/5/2013,78
6/6/2013,79
6/7/2013,77
6/8/2013,77
6/9/2013,77
6/10/2013,77
6/11/2013,77
6/12/2013,78
6/13/2013,77
6/14/2013,76
6/15/2013,78
6/16/2013,78
6/17/2013,77
6/18/2013,78
6/19/2013,78
6/20/2013,73
6/21/2013,76
6/22/2013,77
6/23/2013,75
6/24/2013,76
6/25/2013,74
6/26/2013,75
6/27/2013,77
6/28/2013,76
6/29/2013,77
6/30/2013,78
6/1/2014,79
6/2/2014,77
6/3/2014,78
6/4/2014,79
6/5/2014,78
6/6/2014,78
6/7/2014,78
6/8/2014,78
6/9/2014,79
6/10/2014,79
6/11/2014,82
6/12/2014,80
6/13/2014,79
6/14/2014,79
6/15/2014,78
6/16/2014,78
6/17/2014,77
6/18/2014,78
6/19/2014,78
6/20/2014,73
6/21/2014,75
6/22/2014,75
6/23/2014,76
6/24/2014,84
6/25/2014,79
6/26/2014,76
6/27/2014,79
6/28/2014,79
6/29/2014,77
6/30/2014,79
6/1/2015,78
6/2/2015,78
6/3/2015,79
6/4/2015,77
6/5/2015,79
6/6/2015,78
6/7/2015,78
6/8/2015,78
6/9/2015,79
6/10/2015,77
6/11/2015,78
6/12/2015,78
6/13/2015,78
6/14/2015,78
6/15/2015,79
6/16/2015,79
6/17/2015,77
6/18/2015,78
6/19/2015,78
6/20/2015,78
6/21/2015,79
6/22/2015,79
6/23/2015,77
6/24/2015,79
6/25/2015,79
6/26/2015,79
6/27/2015,81
6/28/2015,76
6/29/2015,80
6/30/2015,78
6/1/2016,76
6/2/2016,71
6/3/2016,71
6/4/2016,74
6/5/2016,76
6/6/2016,78
6/7/2016,77
6/8/2016,77
6/9/2016,73
6/10/2016,77
6/11/2016,78
6/12/2016,78
6/13/2016,80
6/14/2016,79
6/15/2016,78
6/16/2016,77
6/17/2016,76
6/18/2016,77
6/19/2016,77
6/20/2016,78
6/21/2016,80
6/22/2016,79
6/23/2016,79
6/24/2016,77
6/25/2016,78
6/26/2016,79
6/27/2016,80
6/28/2016,76
6/29/2016,79
6/30/2016,80
6/1/2017,79
6/2/2017,79
6/3/2017,79
6/4/2017,79
6/5/2017,80
6/6/2017,79
6/7/2017,79
6/8/2017,80
6/9/2017,80
6/10/2017,77
6/11/2017,79
6/12/2017,83
6/13/2017,80
6/14/2017,80
6/15/2017,78
6/16/2017,79
6/17/2017,80
6/18/2017,77
6/19/2017,80
6/20/2017,78
6/21/2017,79
6/22/2017,80
6/23/2017,78
6/24/2017,80
6/25/2017,80
6/26/2017,81
6/27/2017,80
6/28/2017,79
6/29/2017,79
6/30/2017,75
6/1/2010,74
6/2/2010,76
6/3/2010,75
6/4/2010,75
6/5/2010,74
6/6/2010,75
6/7/2010,75
6/8/2010,75
6/9/2010,75
6/10/2010,75
6/11/2010,83
6/12/2010,75
6/13/2010,76
6/14/2010,73
6/15/2010,74
6/16/2010,74
6/17/2010,75
6/18/2010,70
6/19/2010,74
6/20/2010,75
6/21/2010,75
6/22/2010,75
6/23/2010,75
6/24/2010,75
6/25/2010,74
6/26/2010,72
6/27/2010,76
6/28/2010,73
6/29/2010,75
6/30/2010,76
6/1/2011,74
6/2/2011,75
6/3/2011,71
6/4/2011,69
6/5/2011,69
6/6/2011,74
6/7/2011,71
6/8/2011,74
6/9/2011,74
6/10/2011,75
6/11/2011,73
6/12/2011,73
6/13/2011,73
6/14/2011,75
6/15/2011,75
6/16/2011,74
6/17/2011,74
6/18/2011,75
6/19/2011,74
6/20/2011,73
6/21/2011,72
6/22/2011,74
6/23/2011,72
6/24/2011,75
6/25/2011,76
6/26/2011,74
6/27/2011,74
6/28/2011,74
6/29/2011,74
6/30/2011,74
6/1/2012,71
6/2/2012,71
6/3/2012,75
6/4/2012,72
6/5/2012,72
6/6/2012,73
6/7/2012,73
6/8/2012,73
6/9/2012,74
6/10/2012,73
6/11/2012,72
6/12/2012,72
6/13/2012,70
6/14/2012,72
6/15/2012,72
6/16/2012,72
6/17/2012,74
6/18/2012,73
6/19/2012,73
6/20/2012,70
6/21/2012,73
6/22/2012,72
6/23/2012,73
6/24/2012,69
6/25/2012,72
6/26/2012,71
6/27/2012,71
6/28/2012,73
6/29/2012,73
6/30/2012,72
6/1/2013,75
6/2/2013,75
6/3/2013,75
6/4/2013,75
6/5/2013,74
6/6/2013,74
6/7/2013,74
6/8/2013,75
6/9/2013,75
6/10/2013,74
6/11/2013,75
6/12/2013,75
6/13/2013,74
6/14/2013,72
6/15/2013,74
6/16/2013,74
6/17/2013,74
6/18/2013,74
6/19/2013,74
6/20/2013,72
6/21/2013,70
6/22/2013,75
6/23/2013,74
6/24/2013,71
6/25/2013,71
6/26/2013,70
6/27/2013,73
6/28/2013,71
6/29/2013,71
